timestamp,open (CNY),high (CNY),low (CNY),close (CNY),open (USD),high (USD),low (USD),close (USD),volume,market cap (USD)
2023-05-28,195891.23088800,206155.02487200,195235.30045600,204722.94900000,26854.28000000,28261.32000000,26764.36000000,28065.00000000,43916.00855000,43916.00855000
2023-05-27,194809.07697800,196188.26700000,193678.92460000,195891.15794200,26705.93000000,26895.00000000,26551.00000000,26854.27000000,15095.68670000,15095.68670000
2023-05-26,193115.78148000,196459.33433600,192046.68490400,194809.00403200,26473.80000000,26932.16000000,26327.24000000,26705.92000000,35061.18713000,35061.18713000
2023-05-25,192059.52340000,194269.64130800,188725.08879400,193115.70853400,26329.00000000,26631.98000000,25871.89000000,26473.79000000,37435.44895000,37435.44895000
2023-05-24,198556.16710600,198556.16710600,190246.81530000,192059.59634600,27219.61000000,27219.61000000,26080.50000000,26329.01000000,54393.06570000,54393.06570000
2023-05-23,195854.75788800,200571.08151800,195481.49320600,198556.16710600,26849.28000000,27495.83000000,26798.11000000,27219.61000000,38700.83858000,38700.83858000
2023-05-22,195114.35598800,197682.85759400,193585.62666600,195854.68494200,26747.78000000,27099.89000000,26538.21000000,26849.27000000,26458.83828000,26458.83828000
2023-05-21,197701.31293200,198978.81623000,194518.02243800,195114.35598800,27102.42000000,27277.55000000,26666.03000000,26747.78000000,21347.87279000,21347.87279000
2023-05-20,196080.74459600,198048.39000000,195678.44740600,197701.38587800,26880.26000000,27150.00000000,26825.11000000,27102.43000000,14434.54718000,14434.54718000
2023-05-19,195650.50908800,198293.48856000,194255.19800000,196080.74459600,26821.28000000,27183.60000000,26630.00000000,26880.26000000,28754.13544000,28754.13544000
2023-05-18,199913.03565200,200494.48821800,192294.40952000,195650.50908800,27405.62000000,27485.33000000,26361.20000000,26821.28000000,49198.65143000,49198.65143000
2023-05-17,197201.12221000,200601.50000000,193633.04156600,199912.96270600,27033.85000000,27500.00000000,26544.71000000,27405.61000000,42958.97785000,42958.97785000
